,Date,Heure,Comp,Tour,Jour,Tribune,Résultat,BM,BE,Adversaire,xG,xGA,Poss,Affluence,Capitaine,Formation,Arbitre,Rapport de match,Notes,Dist,CF,PénM,PénT,Buts,Tirs,TC,TC%,B/Tir,B/TC,Saison,Equipe
45,2022-04-23,21:00,Ligue 1,Journée 34,Sam,Domicile,N,1,1,Lens,2.1,0.8,65.0,47000.0,Marquinhos,3-4-3,Amaury Delerue,Rapport de match,,15.9,1.0,0.0,0.0,1.0,18.0,6.0,33.3,0.06,0.17,2022,ParisSaintGermain
46,2022-04-29,21:00,Ligue 1,Journée 35,Ven,Extérieur,N,3,3,Strasbourg,1.8,1.8,56.0,26052.0,Marquinhos,3-4-3,Ruddy Buquet,Rapport de match,,20.2,2.0,0.0,0.0,3.0,14.0,6.0,42.9,0.21,0.5,2022,ParisSaintGermain
47,2022-05-08,20:45,Ligue 1,Journée 36,Dim,Domicile,N,2,2,Troyes,2.2,1.4,63.0,,Marquinhos,4-2-3-1,Jérôme Brisard,Rapport de match,,17.2,0.0,1.0,1.0,2.0,16.0,5.0,31.3,0.06,0.2,2022,ParisSaintGermain
48,2022-05-14,21:00,Ligue 1,Journée 37,Sam,Extérieur,V,4,0,Montpellier,2.6,0.7,69.0,,Marquinhos,4-3-3,Jeremy Stinat,Rapport de match,,16.7,0.0,1.0,1.0,4.0,14.0,8.0,57.1,0.21,0.38,2022,ParisSaintGermain
49,2022-05-21,21:00,Ligue 1,Journée 38,Sam,Domicile,V,5,0,Metz,4.9,0.4,75.0,,Marquinhos,4-2-3-1,Antony Gautier,Rapport de match,,15.3,0.0,0.0,0.0,5.0,27.0,11.0,40.7,0.19,0.45,2022,ParisSaintGermain
0,2021-08-08,20:45,Ligue 1,Journée 1,Dim,Extérieur,V,3,2,Montpellier,2.0,0.5,59.0,13500.0,Steve Mandanda,3-4-3,Jérémie Pignard,Rapport de match,,17.3,2.0,0.0,0.0,3.0,21.0,7.0,33.3,0.14,0.43,2022,Marseille
1,2021-08-15,20:45,Ligue 1,Journée 2,Dim,Domicile,N,2,2,Bordeaux,1.1,0.4,67.0,50000.0,Steve Mandanda,3-4-3,Ruddy Buquet,Rapport de match,,16.7,2.0,0.0,0.0,2.0,10.0,2.0,20.0,0.2,1.0,2022,Marseille
2,2021-08-28,21:00,Ligue 1,Journée 4,Sam,Domicile,V,3,1,Saint-Étienne,2.6,1.0,64.0,55039.0,Steve Mandanda,3-4-3◆,Benoît Millot,Rapport de match,,16.9,0.0,0.0,0.0,3.0,19.0,5.0,26.3,0.16,0.6,2022,Marseille
3,2021-09-11,21:00,Ligue 1,Journée 5,Sam,Extérieur,V,2,0,Monaco,1.8,0.7,49.0,8615.0,Boubacar Kamara,3-4-3,Stéphanie Frappart,Rapport de match,,14.9,0.0,0.0,0.0,2.0,13.0,5.0,38.5,0.15,0.4,2022,Marseille
5,2021-09-19,17:00,Ligue 1,Journée 6,Dim,Domicile,V,2,0,Rennes,2.2,1.5,64.0,54188.0,Dimitri Payet,3-5-1-1,Willy Delajod,Rapport de match,,17.8,1.0,0.0,0.0,2.0,17.0,6.0,35.3,0.12,0.33,2022,Marseille
6,2021-09-22,21:00,Ligue 1,Journée 7,Mer,Extérieur,N,0,0,Angers,0.7,0.4,60.0,12458.0,Boubacar Kamara,3-4-3,Ruddy Buquet,Rapport de match,,14.7,0.0,0.0,0.0,0.0,6.0,1.0,16.7,0.0,0.0,2022,Marseille
7,2021-09-26,20:45,Ligue 1,Journée 8,Dim,Domicile,D,2,3,Lens,1.8,2.0,60.0,50001.0,Dimitri Payet,3-5-1-1◆,Mikael Lesage,Rapport de match,,18.6,1.0,1.0,1.0,2.0,11.0,3.0,27.3,0.09,0.33,2022,Marseille
9,2021-10-03,17:00,Ligue 1,Journée 9,Dim,Extérieur,D,0,2,Lille,0.6,2.2,63.0,44839.0,Mattéo Guendouzi,3-4-3,Jérémie Pignard,Rapport de match,,19.6,1.0,0.0,0.0,0.0,10.0,3.0,30.0,0.0,0.0,2022,Marseille
10,2021-10-17,20:45,Ligue 1,Journée 10,Dim,Domicile,V,4,1,Lorient,1.7,2.3,63.0,57349.0,Dimitri Payet,3-4-3,Antony Gautier,Rapport de match,,14.3,0.0,0.0,0.0,3.0,16.0,6.0,37.5,0.19,0.5,2022,Marseille
12,2021-10-24,20:45,Ligue 1,Journée 11,Dim,Domicile,N,0,0,Paris S-G,1.0,1.0,48.0,65121.0,Dimitri Payet,4-2-3-1,Benoît Bastien,Rapport de match,,17.1,2.0,0.0,0.0,0.0,15.0,1.0,6.7,0.0,0.0,2022,Marseille
13,2021-10-27,21:00,Ligue 1,Journée 3,Mer,Extérieur,N,1,1,Nice,0.8,2.3,55.0,,Dimitri Payet,3-5-1-1,Clément Turpin,Rapport de match,,15.2,0.0,0.0,0.0,1.0,7.0,1.0,14.3,0.14,1.0,2022,Marseille
14,2021-10-31,20:45,Ligue 1,Journée 12,Dim,Extérieur,V,1,0,Clermont Foot,1.5,0.9,58.0,12240.0,Boubacar Kamara,4-1-4-1,Benoît Millot,Rapport de match,,15.5,0.0,0.0,0.0,1.0,9.0,4.0,44.4,0.11,0.25,2022,Marseille
16,2021-11-07,13:00,Ligue 1,Journée 13,Dim,Domicile,N,0,0,Metz,1.3,1.4,75.0,61539.0,Steve Mandanda,4-4-1-1,Jérôme Brisard,Rapport de match,,16.3,1.0,0.0,0.0,0.0,15.0,4.0,26.7,0.0,0.0,2022,Marseille
18,2021-11-28,20:45,Ligue 1,Journée 15,Dim,Domicile,V,1,0,Troyes,1.4,0.1,55.0,,Dimitri Payet,4-1-4-1,Jérémie Pignard,Rapport de match,,17.2,3.0,0.0,0.0,1.0,14.0,4.0,28.6,0.07,0.25,2022,Marseille
19,2021-12-01,21:00,Ligue 1,Journée 16,Mer,Extérieur,V,1,0,Nantes,1.1,0.2,70.0,34018.0,Dimitri Payet,3-4-3,Eric Wattellier,Rapport de match,,16.7,2.0,0.0,0.0,1.0,15.0,5.0,33.3,0.07,0.2,2022,Marseille
20,2021-12-04,17:00,Ligue 1,Journée 17,Sam,Domicile,D,1,2,Brest,2.2,1.6,74.0,54413.0,Dimitri Payet,3-4-3,Antony Gautier,Rapport de match,,16.1,1.0,0.0,0.0,1.0,16.0,4.0,25.0,0.06,0.25,2022,Marseille
22,2021-12-12,17:00,Ligue 1,Journée 18,Dim,Extérieur,V,2,0,Strasbourg,0.6,2.0,50.0,26028.0,Dimitri Payet,4-1-4-1,Mikael Lesage,Rapport de match,,16.8,0.0,0.0,0.0,2.0,8.0,3.0,37.5,0.25,0.67,2022,Marseille
24,2021-12-22,21:00,Ligue 1,Journée 19,Mer,Domicile,N,1,1,Reims,1.3,0.7,72.0,55908.0,Dimitri Payet,3-4-3,François Letexier,Rapport de match,,18.6,0.0,1.0,1.0,1.0,13.0,4.0,30.8,0.0,0.0,2022,Marseille
26,2022-01-07,21:00,Ligue 1,Journée 20,Ven,Extérieur,V,1,0,Bordeaux,2.1,0.8,66.0,,Dimitri Payet,4-3-3,Eric Wattellier,Rapport de match,,17.6,0.0,0.0,0.0,1.0,18.0,6.0,33.3,0.06,0.17,2022,Marseille
